Semua Laporan Iklan CPC - Shopee Indonesia
Username,rayonagrosirsolo
Nama Toko,Rayona Grosir Solo
ID Toko,1892810406
Waktu Laporan Dibuat,16/08/2026 11:40
Periode,15/08/2026 - 15/08/2026

Urutan,Nama Iklan,Status,Jenis Iklan,Kode Produk,Tampilan Iklan,Mode Bidding,Penempatan Iklan,Tanggal Mulai,Tanggal Selesai,Dilihat,Jumlah Klik,Persentase Klik,Tambah ke Keranjang,Persentase Tambah ke Keranjang,Konversi,Konversi Langsung,Tingkat konversi,Tingkat Konversi Langsung,Biaya per Konversi,Biaya per Konversi Langsung,Produk Terjual,Terjual Langsung,Omzet Penjualan,Penjualan Langsung (GMV Langsung),Biaya,Efektifitas Iklan,Efektivitas Langsung,Persentase Biaya Iklan terhadap Penjualan dari Iklan (ACOS),Persentase Biaya Iklan terhadap Penjualan dari Iklan Langsung (ACOS Langsung),Jumlah Produk Dilihat,Jumlah Klik Produk,Persentase Klik Produk,Voucher Amount,Vouchered Sales
1,Produk Baru 13 Agustus 2026,Berjalan,Iklan Produk,-,-,GMV Max ROAS,-,13/08/2026 00:00:00,Tidak Terbatas,1587,50,3.15%,-,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,8693,0.00,0.00,0.00%,0.00%,-,-,-,0,0
2,(ALL SIZE STANDAR) CELANA PENDEK RAYON PREMIUM MOTIF (1)| HOT PANTS BAHAN RAYON MOTIF | CELANA PENDEK SANTAI NYAMAN DAN DAILY WEAR,Berjalan,Iklan Produk,55715034764,-,GMV Max Auto,Semua Penempatan,04/08/2026 00:00:00,Tidak Terbatas,28796,691,2.40%,120,17.37%,11,8,1.59%,1.16%,25816.10,35497.14,14,10,377986,219990,283977,1.33,0.77,75.13%,129.09%,-,-,-,31764,197991
3,STELA ONE SET ALL SIZE STANDAR | Setelan Wanita Rayon Premium Murah | Outfit Daily Wear Casual | Baju Wanita Kekinian | One Set All Size | Outfit Santai,Berjalan,Iklan Produk,54614338930,-,GMV Max Auto,Semua Penempatan,24/07/2026 00:00:00,Tidak Terbatas,11411,420,3.68%,97,23.10%,6,6,1.43%,1.43%,10822.61,10822.61,7,7,300993,300993,64936,4.64,4.64,21.57%,21.57%,-,-,-,25088,214995
4,(ALL SIZE STANDAR) TIMMY SET | Setelan Atasan & Celana Pendek Rayon Premium | Baju Santai Daily Wear | Outfit Casual Kekinian Murah,Berjalan,Iklan Produk,44915418091,-,GMV Max Auto,Semua Penempatan,04/08/2026 00:00:00,Tidak Terbatas,3492,117,3.35%,20,17.09%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,8276,0.00,0.00,0.00%,0.00%,-,-,-,0,0
5,STELA ALL SIZE JUMBO ONE SET | Setelan Wanita Rayon Premium Murah | Outfit Daily Wear Casual | Baju Wanita Kekinian | One Set All Size | Outfit Santai | Baju Rumahan,Berjalan,Iklan Produk,53214329949,-,GMV Max Auto,Semua Penempatan,24/07/2026 00:00:00,Tidak Terbatas,2290,56,2.45%,10,17.86%,1,1,1.79%,1.79%,10175.32,10175.32,1,1,58999,58999,10175,5.80,5.80,17.25%,17.25%,-,-,-,0,0
6,(ALL SIZE JUMBO) CELANA PENDEK RAYON PREMIUM MOTIF | HOT PANTS BAHAN RAYON MOTIF | CELANA PENDEK SANTAI NYAMAN DAN DAILY WEAR,Berjalan,Iklan Produk,51264508006,-,GMV Max Auto,Semua Penempatan,24/07/2026 00:00:00,Tidak Terbatas,1773,49,2.76%,23,46.94%,1,1,2.04%,2.04%,17715.79,17715.79,5,5,144995,144995,17716,8.18,8.18,12.22%,12.22%,-,-,-,1449,144995
7,(ALL SIZE STANDAR) CELANA PENDEK RAYON PREMIUM MOTIF | HOT PANTS BAHAN RAYON MOTIF | CELANA PENDEK SANTAI NYAMAN DAN DAILY WEAR,Berjalan,Iklan Produk,53814489726,-,GMV Max Auto,Semua Penempatan,24/07/2026 00:00:00,Tidak Terbatas,779,29,3.72%,3,10.34%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,2687,0.00,0.00,0.00%,0.00%,-,-,-,0,0
8,SPESIAL PROMO! 100K Dapat 5 | Celana Rayon Premium Bundling 5 PCS | Celana Santai Wanita Motif | Standar & Jumbo,Berjalan,Iklan Produk,52215176820,-,GMV Max ROAS,Semua Penempatan,04/08/2026 00:00:00,Tidak Terbatas,768,25,3.26%,4,16.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,21047,0.00,0.00,0.00%,0.00%,-,-,-,0,0
9,(ALL SIZE JUMBO) TIMMY SET | Setelan Atasan & Celana Pendek Rayon Premium | Baju Santai Daily Wear | Outfit Casual Kekinian Murah,Berjalan,Iklan Produk,50265455860,-,GMV Max ROAS,Semua Penempatan,06/08/2026 00:00:00,Tidak Terbatas,630,15,2.38%,4,26.67%,1,1,6.67%,6.67%,17131.17,17131.17,1,1,64999,64999,17131,3.79,3.79,26.36%,26.36%,-,-,-,4983,64999
10,Bundling 5 PCS Celana Pendek Rayon Premium Wanita | Celana Santai Motif | Standar & Jumbo | 100K Dapat 5,Berjalan,Iklan Produk,47215252532,-,GMV Max ROAS,Semua Penempatan,04/08/2026 00:00:00,Tidak Terbatas,365,14,3.84%,1,7.14%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,17484,0.00,0.00,0.00%,0.00%,-,-,-,0,0
