,,Transaksi – Tinjauan,,,,,,,,,,,,,,,Kunjungan - Performa,,,,,,,,,Kunjungan - Sumber Penonton - Semua Sumber Penonton,,,,,,,Konversi - Performa,,,,,,,,Konversi - Alur Konversi,,,,,,,,Interaksi,,,,,Promosi,,
Periode Data,User Id,Penjualan(Pesanan Dibuat),Penjualan(Pesanan Siap Dikirim),Penjualan dari Pembeli Baru(Pesanan Dibuat),Penjualan dari Pembeli Baru(Pesanan Siap Dikirim),Penjualan dari Pembeli Lama(Pesanan Dibuat),Penjualan dari Pembeli Lama(Pesanan Siap Dikirim),Pesanan(Pesanan Dibuat),Pesanan(Pesanan Siap Dikirim),Produk Terjual(Pesanan Dibuat),Produk Terjual(Pesanan Siap Dikirim),Nilai Penjualan per Pesanan(Pesanan Dibuat),Nilai Penjualan per Pesanan(Pesanan Siap Dikirim),Penjualan per Pembeli(Pesanan Dibuat),Penjualan per Pembeli(Pesanan Siap Dikirim),,Jumlah Livestream,Jumlah Durasi Livestream,Rata-rata durasi Livestream,Penonton,Penonton Aktif,Dilihat,Penonton Tertinggi,Rata-rata durasi ditonton,,Rasio Live Ditonton,Rasio Penonton Live,Rasio Penonton Aktif,Live Ditonton,Penonton Live,Penonton Aktif,,Persentase Klik,Pembeli(Pesanan Dibuat),Pembeli(Pesanan Siap Dikirim),Pesanan per Klik(Pesanan Dibuat),Pesanan per Klik(Pesanan Siap Dikirim),Tambah ke Keranjang,Penjualan per mil(Pesanan Dibuat),Penjualan per mil(Pesanan Siap Dikirim),Jumlah Produk Dilihat,Persentase Klik,Klik Produk,Persentase Pesanan(Pesanan Dibuat),Persentase Pesanan(Pesanan Siap Dikirim),Pesanan Dibuat,Pesanan Terkonfirmasi,,Suka,Share,Komentar,Pengikut Baru dari Livestream,,Voucher Toko Diklaim,Voucher Spesial Live Diklaim,Koin Diklaim
12-08-2026,61786743,Rp3.229.536,Rp3.046.392,Rp1.446.109,Rp1.446.109,Rp1.783.427,Rp1.600.283,23,21,42,40,Rp140.415,Rp145.066,Rp146.797,Rp145.066,,1,10j50m8d,10j50m8d,1.087,115,1.737,8,54d,,100%,100%,100%,1.737,1.087,115,,"24,87%",-,-,"5,32%","4,86%",120,Rp1.859.261,Rp1.753.824,1.015,"11,63%",118,"19,49%","17,80%",23,21,,821,6,276,7,,3,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Kunjungan - Sumber Penonton - Toko Saya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Rasio Live Ditonton,Rasio Penonton Live,Rasio Penonton Aktif,Live Ditonton,Penonton Live,Penonton Aktif,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,4%,5%,17%,69,52,20,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Kunjungan - Sumber Penonton - Pencarian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
