,,Transaksi – Tinjauan,,,,,,,,,,,,,,,Kunjungan - Performa,,,,,,Kunjungan - Sumber Penonton - Semua Sumber Penonton,,,,,,,Konversi - Performa,,,,,,,,,,,Konversi - Alur Konversi,,,,,,,,Interaksi,,,,
Periode Data,User Id,Penjualan(Pesanan Dibuat),Penjualan(Pesanan Siap Dikirim),Penjualan dari Pembeli Baru(Pesanan Dibuat),Penjualan dari Pembeli Baru(Pesanan Siap Dikirim),Penjualan dari Pembeli Lama(Pesanan Dibuat),Penjualan dari Pembeli Lama(Pesanan Siap Dikirim),Pesanan(Pesanan Dibuat),Pesanan(Pesanan Siap Dikirim),Produk Terjual(Pesanan Dibuat),Produk Terjual(Pesanan Siap Dikirim),Nilai Penjualan per Pesanan(Pesanan Dibuat),Nilai Penjualan per Pesanan(Pesanan Siap Dikirim),Penjualan per Pembeli(Pesanan Dibuat),Penjualan per Pembeli(Pesanan Siap Dikirim),,Durasi Rata-rata Menonton/Jumlah Video,Penonton,Ditonton,Penonton Efektif (Menonton >3 detik),Video dengan Produk,,Rasio Video Ditonton,Rasio Penonton Video,Rasio Efektivitas Tayangan,Ditonton,Penonton,Penonton Efektif (Menonton >3 detik),,Persentase Klik,Pembeli(Pesanan Dibuat),Pembeli(Pesanan Siap Dikirim),Pesanan per Klik(Pesanan Dibuat),Pesanan per Klik(Pesanan Siap Dikirim),Tambah ke Keranjang,Penjualan per mil(Pesanan Dibuat),Penjualan per mil(Pesanan Siap Dikirim),Video Berpendapatan(Pesanan Dibuat),Video Berpendapatan(Pesanan Siap Dikirim),,Jumlah Produk Dilihat,Persentase Klik,Klik Produk,Persentase Pesanan(Pesanan Dibuat),Persentase Pesanan(Pesanan Siap Dikirim),Pesanan Dibuat,Pesanan Terkonfirmasi,,Suka,Share,Komentar,Pengikut Baru dari Video,Tingkat Video Selesai Ditonton
12-08-2026,61786743,Rp112.327,Rp112.327,Rp112.327,Rp112.327,Rp0,Rp0,1,1,1,1,Rp112.327,Rp112.327,Rp112.327,Rp112.327,,5d,25,64,19,0,,100%,100%,100%,64,25,19,,"29,03%",1,1,"11,11%","11,11%",4,Rp1.755.109,Rp1.755.109,1,1,,19,"36,84%",7,"14,29%","14,29%",1,1,,0,1,0,0,"9,38%"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Kunjungan - Sumber Penonton - Toko Saya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Rasio Video Ditonton,Rasio Penonton Video,Rasio Efektivitas Tayangan,Ditonton,Penonton,Penonton Efektif (Menonton >3 detik),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,3%,8%,0%,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Kunjungan - Sumber Penonton - Pencarian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
